timepoint,method,dice,iou
30,Otsu,0.18760347727006538,0.10351127632240563
30,Hysteresis,0.5615168130720807,0.3903534070990971
30,Ours (RF),0.07294647071394418,0.037853889165689
100,Otsu,0.9994448725856248,0.9988903611621883
100,Hysteresis,0.5671623280087027,0.3958315300437938
100,Ours (RF),0.04103158586137331,0.02094550660706554
140,Otsu,0.8089392202774282,0.6791754325634418
140,Hysteresis,0.543091163300675,0.37276948949741145
140,Ours (RF),0.039218765182866835,0.020001601650642308
190,Otsu,0.9999741912585981,0.9999483838493441
190,Hysteresis,0.8743851217542158,0.7768066491062221
190,Ours (RF),0.02560030113625374,0.012966118841583364
